Date,Close,High,Low,Open,Volume,daily_return,log_return,daily_return_pct,log_return_pct
2016-02-25,67.38755798339844,67.4772038833468,66.53245742158677,67.00138455442898,2146400,0.008774186975782916,0.008735917490070938,0.8774186975782916,0.8735917490070938
2016-02-26,67.1944808959961,67.93924329268094,67.17379378236862,67.55996726666588,2372900,-0.0028651741238332473,-0.002869286592383943,-0.28651741238332473,-0.28692865923839433
2016-02-29,66.58074951171875,67.3806811828485,66.55316493530462,67.19449186857813,3124000,-0.00913365764708085,-0.009175625238621712,-0.9133657647080851,-0.9175625238621712
2016-03-01,67.82889556884766,67.89095689628242,66.91172848115764,67.18756887926521,2666900,0.01874635035325367,0.018572803091184514,1.8746350353253671,1.8572803091184513
2016-03-02,68.11162567138672,68.24954849600506,67.62890893826702,67.64269859011995,2605000,0.004168284035409142,0.0041596208050354395,0.4168284035409142,0.41596208050354394
2016-03-03,68.69776916503906,68.80120467791554,67.82197657376523,67.88404314270744,2541400,0.008605630652251284,0.008568813286439077,0.8605630652251284,0.8568813286439078
2016-03-04,69.23568725585938,69.8011577893047,68.62194504009136,68.64952961016417,3789700,0.007830211917479124,0.007799714903416437,0.7830211917479124,0.7799714903416437
2016-03-07,69.8563232421875,69.90459492196224,68.80123322216494,68.93225860779003,3349700,0.008964105231375363,0.00892416614143152,0.8964105231375363,0.892416614143152
2016-03-08,69.38742065429688,70.0908089886887,69.21502098534374,69.33225149753899,2985100,-0.006712385738725013,-0.006735015121489507,-0.6712385738725013,-0.6735015121489507
2016-03-09,68.65641784667969,69.06328365526198,68.19438816235242,68.61504362456634,3442800,-0.010535091241670513,-0.010590978177936312,-1.0535091241670513,-1.0590978177936312
2016-03-10,68.87022399902344,69.00124417427168,68.16683037939374,69.00124417427168,2455200,0.003114146631145509,0.0031093077199752326,0.3114146631145509,0.3109307719975233
2016-03-11,69.52532196044922,69.71840870254476,69.07708187417362,69.07708187417362,2315100,0.009512063753924549,0.009467108926121974,0.9512063753924549,0.9467108926121974
2016-03-14,69.84942626953125,70.06320010127192,69.2908532195154,69.34601709591334,2097100,0.004661672897630087,0.004650840950811576,0.4661672897630087,0.4650840950811576
2016-03-15,69.93910217285156,70.02185591477377,69.3667339623031,69.62878484777968,1796300,0.0012838459542141578,0.001283022528689418,0.12838459542141578,0.12830225286894179
2016-03-16,70.11148071289062,70.42869540276757,69.44256930242912,69.78736856462831,2252200,0.0024646947799391583,0.0024616624013298104,0.24646947799391583,0.24616624013298105
2016-03-17,71.54583740234375,71.9802825209651,70.75279815238733,71.11828447997301,4641200,0.02045822845087053,0.020251769995779684,2.045822845087053,2.0251769995779685
