Date,Close,High,Low,Open,Volume
2016-02-24,9.7427396774292,9.758803153124331,9.357206302938387,9.606196687087161,159552800
2016-02-25,9.895347595214844,9.903379717233406,9.710613384699814,9.750773228807308,103054600
2016-02-26,10.2005615234375,10.401359981638967,9.959603220398673,10.031890787908853,160314400
2016-02-29,10.055987358093262,10.329072623351106,10.047955235766027,10.200561730056746,123661100
2016-03-01,10.594124794006348,10.61018903602503,10.136304620266976,10.152368862285659,153558200
2016-03-02,10.811811447143555,10.892436747769622,10.58606168185036,10.642498930948696,139622500
2016-03-03,10.88437271118164,10.924685356484487,10.682810253567165,10.787622823794663,105082700
2016-03-04,10.916627883911133,11.198815766813391,10.876315219367935,11.094003146561127,171410900
2016-03-07,10.908561706542969,10.981124325721062,10.779561836404081,10.844061771473525,97650300
2016-03-08,10.52962589263916,10.86018828701735,10.521563207678726,10.803750261194274,125894800
2016-03-09,10.594124794006348,10.698937381497798,10.481249522346353,10.618312077612103,92253800
2016-03-10,10.69893741607666,10.803749235006977,10.48124955622165,10.666686679298243,123016200
2016-03-11,11.118186950683594,11.158499602583365,10.779561904965322,10.835999156285073,120400600
2016-03-14,10.997247695922852,11.077872215661593,10.876309762965132,11.06174761927374,87746800
2016-03-15,10.940813064575195,10.96500111997527,10.795688576674623,10.892438491574996,80404000
2016-03-16,10.731186866760254,11.134311830263046,10.553811667527068,10.8924366983814,149645400
2016-03-17,10.803750991821289,10.868250938066788,10.521563919222233,10.65862649721892,122212300
2016-03-18,11.118186950683594,11.190749570323208,10.924687144244547,11.029499731624002,146616200
2016-03-21,11.158499717712402,11.311686873832203,11.061749813494652,11.126249749639818,104695700
2016-03-22,11.094000816345215,11.158500758506527,10.989188218108092,11.021438189188748,83252100
2016-03-23,10.981122970581055,11.150435471469079,10.96499837325351,11.102060910586662,95789700
2016-03-24,11.029496192932129,11.037558105605601,10.69893393743103,10.81180840385601,94836500
2016-03-28,10.981122970581055,11.077872861245671,10.91662304347131,11.069810178132007,54498500
2016-03-29,10.81987476348877,10.916624668555896,10.690874890065936,10.916624668555896,101606800
2016-03-30,10.868249893188477,11.01337514273845,10.852125292627333,10.876312577919016,85897000
2016-03-31,10.90049934387207,11.053686491148744,10.844061326328163,10.876311292539034,79592100
2016-04-01,10.932747840881348,11.005309678429672,10.739247300719924,10.860185234433281,73130900
2016-04-04,10.892441749572754,11.005316299601356,10.811816411923578,10.916629043307426,59709600
2016-04-05,10.634434700012207,10.755372633357299,10.610247420903084,10.723122671578556,78445900
2016-04-06,10.69893741607666,10.723124699760588,10.569936775662644,10.642499395614314,62558500
2016-04-07,10.360309600830078,10.650559234187849,10.279684318225303,10.602183910845048,105704500
2016-04-08,10.384501457214355,10.594126669303625,10.368376086022865,10.505438665550463,76548100
2016-04-11,10.457061767578125,10.553811666541781,10.384499151130422,10.416749117451639,79411500
2016-04-12,10.69893741607666,10.747311983444517,10.42481230465919,10.48124955622165,100791600
2016-04-13,11.118186950683594,11.166562286743297,10.908561775924685,10.924687144244547,138647200
2016-04-14,11.400373458862305,11.513247948767013,11.045623084848032,11.053685768098308,179383300
2016-04-15,11.287500381469727,11.521312858615602,11.247187726327345,11.505188257898615,87958700
